Location,Latitude,Longitude
Substation-1,28.463673,77.0334197
DLF Phase 1,28.472453,77.102712
DLF Phase 2,28.484935,77.084963
DLF Phase 3,28.496392,77.101789
DLF Phase 4,28.463477772507453,77.08261456998054
DLF Phase 5,28.44451,77.109179
Sector 14,28.477771,77.050951
Sector 15,28.38206,76.914789
Sector 21,28.513451,77.070235
Sector 22,28.502905,77.06598
Sector 23,28.510232,77.055452
Sector 28,28.47026,77.090899
Sector 29,28.468759,77.067163
Sector 31,28.454786,77.050674
Sector 38,28.434384,77.04286
Sector 43,28.456869,77.093169
Sector 44,28.452759,77.073471
Sector 45,28.445407,77.067343
Sector 46,28.436327,77.05908
Sector 47,28.428531,77.044097
Sector 48,28.420861,77.033677
Sector 49,28.406369,77.051019
Sector 50,28.409069,77.065128
Sector 51,28.43077,77.062434
Sector 52,28.435633,77.071703
Sector 53,28.438475,77.096947
Sector 54,28.437123,77.118206
Sector 55,28.42544,77.112883
Sector 56,28.424715,77.096206
Sector 57,28.428437,77.081092
Sector 58,28.417739,77.108493
Sector 59,28.405751,77.105846
Sector 60,28.399561,77.093214
Sector 61,28.413232,77.100075
Sector 62,28.414922,77.082903
Sector 63,28.398863,77.092378
Sector 65,28.405554,77.069719
Sector 66,28.399613,77.055469
Sector 67,28.375886,77.066825
MG Road,28.481783537104896,77.0947156376723
Cyber City,28.463673,77.0334197
Udyog Vihar,28.463673,77.0334197
Hero Honda Chowk,28.435766,77.010261
IMT Manesar,28.368521,76.926708
Sohna Road,28.450513,77.031405
Palam Vihar,28.514094,77.042827
South City 1,28.460521,77.06451
South City 2,28.417896,77.052776
Suncity,28.435303,77.110226
Golf Course Road,28.476314,77.093768
